date,value
R2.1.4,180362
R2.1.9,180211
R2.1.16,180080
R2.1.16,177080
R2.1.20,177083
R2.1.20,176193
R2.1.23,175843
R2.1.24,213465
R2.1.25,208465
R2.1.27,130708
R2.2.5,130408
R2.2.10,130141
R2.2.12,129990
R2.2.12,128990
R2.2.16,128600
R2.2.20,128603
R2.2.25,170128
R2.2.26,115346
R2.2.26,114846
R2.2.28,114695
R2.3.1,114398
R2.3.3,114247
R2.3.3,111247
R2.3.6,111096
R2.3.9,106096
R2.3.11,105760
R2.3.23,105763
R2.3.23,105653
R2.3.25,114373
R2.3.25,114222
R2.3.26,80747
R2.3.30,80117
R2.4.4,78861
R2.4.6,148861
R2.4.12,148361
R2.4.12,147861
R2.4.12,147646
R2.4.19,146646
R2.4.20,146650
R2.4.24,153710
R2.4.24,153210
R2.4.26,152477
R2.4.27,105709
R2.4.29,105562
R2.4.29,105431
R2.4.30,105186
R2.5.2,104625
R2.5.6,104284
R2.5.10,103933
R2.5.15,103552
R2.5.20,103558
R2.5.20,103402
R2.5.20,103157
R2.5.25,114300
R2.5.26,78096
R2.5.30,77851
R2.6.1,77500
R2.6.2,77149
R2.6.3,76836
R2.6.6,76336
R2.6.6,75836
R2.6.9,75485
R2.6.11,75240
R2.6.12,74571
R2.6.13,74441
R2.6.13,73876
R2.6.14,73631
R2.6.14,72631
R2.6.15,72176
R2.6.17,71835
R2.6.19,71413
R2.6.20,71265
R2.6.20,70523
R2.6.21,68523
R2.6.21,66523
R2.6.22,66528
